instanceID,courseCode,teacherID,studyPeriod,academicYear
I-149,1194,19750512-0043,2.0,2017-2018
I-150,1208,19750122-0056,4.0,2017-2018
I-151,1158,19751018-0039,1.0,2017-2018
I-152,1133,19920504-0093,2.0,2017-2018
I-153,1060,19750705-0033,2.0,2017-2018
I-154,1257,19910101-0133,2.0,2017-2018
I-155,1201,19910927-0128,2.0,2017-2018
I-156,1169,19910421-0067,4.0,2017-2018
I-157,1081,19750417-0051,1.0,2017-2018
I-158,1066,19750906-0032,3.0,2017-2018
I-159,1021,19931203-0066,4.0,2017-2018
I-160,1276,19750122-0056,2.0,2018-2019
I-161,1129,19900701-0138,3.0,2018-2019
I-162,1117,19750906-0032,1.0,2018-2019
I-163,1116,19781217-0053,1.0,2018-2019
I-164,1048,19750102-0059,1.0,2018-2019
I-165,1248,19900317-0083,3.0,2018-2019
I-166,1235,19751018-0039,1.0,2018-2019
I-167,1204,19920602-0073,2.0,2018-2019
I-168,1153,19750722-0060,2.0,2018-2019
I-169,1076,19771013-0040,2.0,2018-2019
I-170,1108,19910206-0081,1.0,2019-2020
I-171,1077,19900616-0124,1.0,2019-2020
I-172,1024,19900430-0112,4.0,2019-2020
I-173,1014,19781125-0031,4.0,2019-2020
I-174,1234,19921002-0129,2.0,2019-2020
I-175,1224,19900723-0126,1.0,2019-2020
I-176,1202,19781217-0053,4.0,2019-2020
I-177,1200,19760108-0050,4.0,2019-2020
I-178,1025,19750705-0033,4.0,2019-2020
I-179,1048,19921208-0097,2.0,2020-2021
I-180,1196,19920226-0075,1.0,2020-2021
I-181,1194,19920505-0115,2.0,2020-2021
I-182,1107,19921002-0129,1.0,2020-2021
I-183,1096,19780424-0057,2.0,2020-2021
I-184,1258,19910101-0133,1.0,2020-2021
I-185,1182,19750417-0051,2.0,2020-2021
I-186,1158,19781125-0031,4.0,2020-2021
I-187,1130,19931118-0062,4.0,2020-2021
I-188,1064,19900619-0076,2.0,2020-2021
I-189,1142,19910327-0096,4.0,2021-2022
I-190,1287,19900902-0114,2.0,2021-2022
I-191,1206,19780317-0052,2.0,2021-2022
I-192,1236,19920206-0072,1.0,2021-2022
I-193,1178,19761020-0044,3.0,2021-2022
I-194,1029,19900128-0095,3.0,2021-2022
I-195,1024,19790717-0045,2.0,2021-2022
I-196,1007,19930829-0082,2.0,2021-2022
I-197,1286,19750331-0036,4.0,2022-2023
I-198,1187,19930829-0082,4.0,2022-2023
I-199,1222,19790702-0038,4.0,2022-2023
I-200,1040,19901029-0071,4.0,2022-2023
I-201,1275,19930221-0139,4.0,2022-2023
I-202,1210,19790717-0045,1.0,2022-2023
I-203,1194,19780815-0047,2.0,2022-2023
I-204,1191,19790426-0049,4.0,2022-2023
I-205,1037,19750220-0037,4.0,2022-2023
I-206,1017,19900321-0080,2.0,2022-2023
I-207,1163,19771013-0040,3.0,2023-2024
I-208,1146,19750722-0060,2.0,2023-2024
I-209,1035,19750512-0043,2.0,2023-2024
I-210,1010,19930906-0110,2.0,2023-2024
I-211,1011,19900616-0124,3.0,2023-2024
I-212,1294,19761020-0044,4.0,2023-2024
I-213,1283,19780317-0052,3.0,2023-2024
I-214,1184,19930326-0132,3.0,2023-2024
I-215,1180,19911116-0069,4.0,2023-2024
I-216,1236,19920226-0075,1.0,2013-2014
I-217,1093,19781130-0054,4.0,2013-2014
I-218,1255,19900616-0124,2.0,2013-2014
I-219,1235,19750512-0043,1.0,2013-2014
I-220,1140,19920122-0065,3.0,2013-2014
I-221,1266,19750722-0060,3.0,2013-2014
I-222,1160,19750705-0033,2.0,2013-2014
I-223,1135,19790426-0049,1.0,2013-2014
I-224,1100,19790426-0049,3.0,2013-2014
I-225,1037,19900128-0095,3.0,2013-2014
I-226,1034,19750512-0043,2.0,2013-2014
I-227,1255,19771013-0040,2.0,2014-2015
I-228,1033,19900511-0134,1.0,2014-2015
I-229,1023,19921218-0101,3.0,2014-2015
I-230,1220,19790702-0038,1.0,2014-2015
I-231,1149,19770224-0058,3.0,2014-2015
I-232,1098,19760108-0050,1.0,2014-2015
I-233,1076,19760524-0046,2.0,2014-2015
I-234,1032,19750705-0033,3.0,2014-2015
I-235,1168,19790708-0041,4.0,2015-2016
I-236,1149,19780424-0057,1.0,2015-2016
I-237,1146,19750512-0043,1.0,2015-2016
I-238,1103,19910122-0077,1.0,2015-2016
I-239,1008,19781130-0054,3.0,2015-2016
I-240,1233,19900801-0130,4.0,2015-2016
I-241,1205,19760524-0046,3.0,2015-2016
I-242,1190,19780602-0035,4.0,2015-2016
I-243,1067,19780815-0047,2.0,2015-2016
I-244,1049,19921201-0094,2.0,2015-2016
I-245,1009,19900317-0083,1.0,2015-2016
I-246,1128,19750220-0037,2.0,2016-2017
I-247,1222,19790708-0041,3.0,2016-2017
I-248,1122,19931118-0062,1.0,2016-2017
I-249,1120,19900902-0114,1.0,2016-2017
I-250,1273,19750122-0056,1.0,2016-2017
I-251,1182,19921127-0120,1.0,2016-2017
I-252,1150,19920828-0070,3.0,2016-2017
I-253,1052,19750102-0059,3.0,2016-2017
I-254,1248,19780602-0035,3.0,2017-2018
I-255,1221,19780815-0047,1.0,2017-2018
I-256,1048,19790618-0048,4.0,2017-2018
I-257,1025,19920828-0070,1.0,2017-2018
I-258,1238,19920602-0073,3.0,2017-2018
I-259,1211,19781217-0053,1.0,2017-2018
I-260,1117,19920320-0121,3.0,2017-2018
I-261,1072,19930512-0117,2.0,2017-2018
I-262,1013,19750705-0033,4.0,2018-2019
I-263,1273,19790708-0041,4.0,2018-2019
I-264,1230,19761020-0044,3.0,2018-2019
I-265,1079,19790708-0041,3.0,2018-2019
I-266,1237,19921002-0129,3.0,2018-2019
I-267,1205,19750331-0036,2.0,2018-2019
I-268,1197,19920504-0093,4.0,2018-2019
I-269,1185,19901108-0087,1.0,2018-2019
I-270,1058,19771013-0040,2.0,2018-2019
I-271,1043,19750417-0051,4.0,2018-2019
I-272,1049,19770713-0042,3.0,2019-2020
I-273,1205,19900426-0089,2.0,2019-2020
I-274,1152,19750417-0051,2.0,2019-2020
I-275,1055,19911025-0091,2.0,2019-2020
I-276,1292,19901029-0071,4.0,2019-2020
I-277,1189,19920505-0115,1.0,2019-2020
I-278,1170,19920316-0107,1.0,2019-2020
I-279,1118,19900520-0063,2.0,2019-2020
I-280,1090,19751018-0039,1.0,2019-2020
I-281,1073,19780424-0057,4.0,2019-2020
I-282,1077,19921201-0094,4.0,2020-2021
I-283,1213,19750512-0043,2.0,2020-2021
I-284,1199,19920917-0109,3.0,2020-2021
I-285,1049,19931231-0099,1.0,2020-2021
I-286,1222,19930829-0082,1.0,2020-2021
I-287,1192,19900307-0105,1.0,2020-2021
I-288,1164,19900511-0134,4.0,2020-2021
I-289,1113,19790717-0045,2.0,2020-2021
I-290,1031,19761024-0034,2.0,2020-2021
I-291,1276,19761009-0055,3.0,2021-2022
I-292,1207,19750722-0060,3.0,2021-2022
I-293,1118,19900701-0138,1.0,2021-2022
I-294,1217,19900723-0126,4.0,2021-2022
I-295,1162,19931212-0079,3.0,2021-2022
I-296,1072,19780815-0047,4.0,2021-2022
I-297,1064,19910327-0096,1.0,2021-2022
I-298,1184,19750906-0032,3.0,2022-2023
I-299,1218,19930228-0086,4.0,2022-2023
I-300,1066,19781217-0053,1.0,2022-2023
I-301,1272,19931231-0099,3.0,2022-2023
I-302,1190,19910206-0081,2.0,2022-2023
I-303,1131,19750122-0056,1.0,2022-2023
I-304,1125,19900801-0130,3.0,2022-2023
I-305,1046,19910404-0102,1.0,2022-2023
I-306,1070,19790708-0041,1.0,2023-2024
I-307,1009,19910822-0122,4.0,2023-2024
I-308,1290,19900616-0124,4.0,2023-2024
I-309,1173,19900317-0083,2.0,2023-2024
I-310,1004,19790708-0041,3.0,2023-2024
I-311,1296,19930221-0139,4.0,2023-2024
I-312,1240,19790708-0041,4.0,2023-2024
I-313,1160,19780815-0047,2.0,2023-2024
I-314,1158,19790717-0045,3.0,2023-2024
I-315,1115,19900701-0138,2.0,2023-2024
I-316,1022,19781125-0031,4.0,2023-2024
I-317,1162,19761020-0044,3.0,2013-2014
I-318,1240,19760108-0050,2.0,2013-2014
I-319,1101,19911116-0069,2.0,2013-2014
I-320,1093,19900317-0083,1.0,2013-2014
I-321,1262,19790618-0048,4.0,2013-2014
I-322,1208,19761024-0034,3.0,2013-2014
I-323,1199,19780317-0052,2.0,2013-2014
I-324,1083,19900119-0104,2.0,2013-2014
I-325,1121,19781217-0053,1.0,2014-2015
I-326,1211,19900430-0112,2.0,2014-2015
I-327,1171,19761020-0044,4.0,2014-2015
I-328,1267,19900511-0134,1.0,2014-2015
I-329,1263,19910122-0077,4.0,2014-2015
I-330,1160,19910927-0128,1.0,2014-2015
I-331,1108,19900909-0123,4.0,2014-2015
I-332,1087,19790708-0041,3.0,2014-2015
I-333,1083,19910404-0102,4.0,2014-2015
I-334,1178,19790426-0049,3.0,2015-2016
I-335,1218,19750122-0056,4.0,2015-2016
I-336,1200,19910404-0102,1.0,2015-2016
I-337,1107,19900723-0126,4.0,2015-2016
I-338,1047,19790708-0041,3.0,2015-2016
I-339,1293,19750122-0056,3.0,2015-2016
I-340,1263,19910921-0136,4.0,2015-2016
I-341,1262,19750417-0051,1.0,2015-2016
I-342,1106,19910403-0103,2.0,2015-2016
I-343,1291,19780602-0035,1.0,2016-2017
I-344,1028,19921208-0097,3.0,2016-2017
I-345,1265,19790618-0048,3.0,2016-2017
I-346,1224,19920828-0070,3.0,2016-2017
I-347,1209,19770224-0058,3.0,2016-2017
I-348,1059,19780317-0052,2.0,2016-2017
I-349,1283,19760524-0046,2.0,2016-2017
I-350,1258,19920316-0107,3.0,2016-2017
I-351,1115,19750417-0051,1.0,2016-2017
I-352,1031,19930919-0137,4.0,2016-2017
I-353,1295,19900307-0105,3.0,2017-2018
I-354,1031,19930508-0061,4.0,2017-2018
I-355,1297,19930906-0110,1.0,2017-2018
I-356,1271,19910122-0077,1.0,2017-2018
I-357,1084,19900201-0074,3.0,2017-2018
I-358,1253,19900701-0138,4.0,2017-2018
I-359,1166,19780815-0047,2.0,2017-2018
I-360,1155,19750417-0051,2.0,2017-2018
I-361,1088,19760108-0050,2.0,2017-2018
I-362,1077,19910820-0078,2.0,2017-2018
I-363,1104,19900430-0112,4.0,2018-2019
I-364,1040,19910421-0067,2.0,2018-2019
I-365,1256,19750220-0037,2.0,2018-2019
I-366,1233,19750417-0051,3.0,2018-2019
I-367,1184,19920504-0093,4.0,2018-2019
I-368,1253,19901219-0125,1.0,2018-2019
I-369,1189,19930919-0137,3.0,2018-2019
I-370,1092,19930508-0061,2.0,2018-2019
I-371,1015,19901029-0071,1.0,2018-2019
I-372,1006,19750122-0056,4.0,2018-2019
I-373,1224,19780317-0052,3.0,2019-2020
I-374,1193,19910404-0102,4.0,2019-2020
I-375,1142,19761009-0055,2.0,2019-2020
I-376,1022,19780602-0035,2.0,2019-2020
I-377,1289,19761009-0055,1.0,2019-2020
I-378,1274,19900307-0105,1.0,2019-2020
I-379,1152,19920505-0115,3.0,2019-2020
I-380,1145,19760108-0050,2.0,2019-2020
I-381,1136,19790618-0048,4.0,2019-2020
I-382,1127,19900307-0105,2.0,2019-2020
I-383,1218,19750722-0060,4.0,2020-2021
I-384,1186,19900909-0123,4.0,2020-2021
I-385,1228,19900520-0063,4.0,2020-2021
I-386,1151,19750722-0060,3.0,2020-2021
I-387,1109,19770224-0058,3.0,2020-2021
I-388,1094,19780815-0047,3.0,2020-2021
I-389,1264,19920122-0065,4.0,2020-2021
I-390,1137,19781217-0053,1.0,2020-2021
I-391,1105,19910820-0078,3.0,2020-2021
I-392,1063,19920826-0088,2.0,2020-2021
I-393,1047,19900520-0063,1.0,2020-2021
I-394,1045,19921127-0120,3.0,2020-2021
I-395,1224,19770224-0058,3.0,2021-2022
I-396,1055,19931118-0062,1.0,2021-2022
I-397,1236,19900701-0138,2.0,2021-2022
I-398,1166,19790708-0041,4.0,2021-2022
I-399,1047,19790717-0045,2.0,2021-2022
I-400,1249,19920206-0072,2.0,2021-2022
I-401,1149,19900801-0130,4.0,2021-2022
I-402,1073,19781130-0054,1.0,2021-2022
I-403,1045,19790702-0038,1.0,2021-2022
I-404,1110,19900818-0116,4.0,2022-2023
I-405,1251,19900426-0089,3.0,2022-2023
I-406,1234,19761020-0044,1.0,2022-2023
I-407,1102,19761009-0055,1.0,2022-2023
I-408,1049,19790426-0049,3.0,2022-2023
I-409,1242,19790708-0041,1.0,2022-2023
I-410,1116,19900128-0095,2.0,2022-2023
I-411,1087,19900909-0123,3.0,2022-2023
I-412,1070,19760524-0046,4.0,2022-2023
I-413,1069,19900902-0090,2.0,2022-2023
I-414,1257,19750705-0033,1.0,2023-2024
I-415,1232,19911116-0069,2.0,2023-2024
I-416,1114,19931118-0062,1.0,2023-2024
I-417,1076,19761009-0055,3.0,2023-2024
I-418,1278,19780317-0052,2.0,2023-2024
I-419,1261,19920828-0070,3.0,2023-2024
I-420,1127,19910514-0068,2.0,2023-2024
I-421,1126,19900902-0114,3.0,2023-2024
I-422,1099,19930221-0139,2.0,2023-2024
I-423,1236,19930709-0100,4.0,2013-2014
I-424,1233,19921208-0097,2.0,2013-2014
I-425,1183,19920917-0109,3.0,2013-2014
I-426,1112,19910817-0092,1.0,2013-2014
I-427,1083,19750722-0060,4.0,2013-2014
I-428,1296,19910817-0092,2.0,2013-2014
I-429,1248,19901002-0085,1.0,2013-2014
I-430,1149,19790717-0045,2.0,2013-2014
I-431,1066,19761009-0055,4.0,2013-2014
I-432,1035,19761020-0044,4.0,2013-2014
I-433,1155,19920226-0075,1.0,2014-2015
I-434,1100,19910820-0078,1.0,2014-2015
I-435,1050,19790702-0038,4.0,2014-2015
I-436,1044,19930228-0086,2.0,2014-2015
I-437,1288,19910403-0131,2.0,2014-2015
I-438,1257,19770713-0042,2.0,2014-2015
I-439,1113,19900818-0116,3.0,2014-2015
I-440,1009,19920316-0107,2.0,2014-2015
I-441,1269,19790426-0049,1.0,2015-2016
I-442,1138,19900909-0123,2.0,2015-2016
I-443,1251,19750722-0060,1.0,2015-2016
I-444,1242,19790708-0041,1.0,2015-2016
I-445,1293,19790618-0048,1.0,2015-2016
I-446,1248,19770224-0058,1.0,2015-2016
I-447,1198,19930302-0135,2.0,2015-2016
I-448,1170,19930829-0082,3.0,2015-2016
I-449,1143,19761009-0055,1.0,2015-2016
I-450,1121,19920217-0098,2.0,2015-2016
I-451,1131,19790717-0045,3.0,2016-2017
I-452,1294,19751018-0039,2.0,2016-2017
I-453,1218,19761024-0034,3.0,2016-2017
I-454,1138,19930326-0132,4.0,2016-2017
I-455,1080,19790426-0049,4.0,2016-2017
I-456,1281,19760108-0050,2.0,2016-2017
I-457,1247,19761009-0055,2.0,2016-2017
I-458,1146,19780317-0052,1.0,2016-2017
I-459,1119,19780602-0035,2.0,2016-2017
I-460,1240,19790717-0045,4.0,2017-2018
I-461,1192,19750220-0037,4.0,2017-2018
I-462,1252,19790426-0049,2.0,2017-2018
I-463,1230,19920206-0072,4.0,2017-2018
I-464,1221,19780424-0057,2.0,2017-2018
I-465,1010,19930906-0110,4.0,2017-2018
I-466,1284,19900317-0083,3.0,2017-2018
I-467,1203,19780424-0057,1.0,2017-2018
I-468,1170,19931203-0066,3.0,2017-2018
I-469,1145,19750122-0056,3.0,2017-2018
I-470,1131,19750705-0033,4.0,2017-2018
I-471,1046,19780317-0052,2.0,2017-2018
I-472,1185,19780602-0035,1.0,2018-2019
I-473,1090,19910822-0122,4.0,2018-2019
I-474,1082,19750331-0036,3.0,2018-2019
I-475,1290,19900616-0124,4.0,2018-2019
I-476,1291,19921123-0108,1.0,2018-2019
I-477,1267,19900902-0114,2.0,2018-2019
I-478,1182,19761020-0044,1.0,2018-2019
I-479,1044,19780317-0052,4.0,2018-2019
I-480,1030,19901011-0119,4.0,2018-2019
I-481,1236,19780317-0052,1.0,2019-2020
I-482,1062,19921123-0108,4.0,2019-2020
I-483,1260,19790426-0049,4.0,2019-2020
I-484,1168,19750331-0036,3.0,2019-2020
I-485,1089,19930414-0106,2.0,2019-2020
I-486,1080,19770224-0058,2.0,2019-2020
I-487,1299,19901219-0125,1.0,2019-2020
I-488,1291,19930512-0117,3.0,2019-2020
I-489,1286,19930906-0110,1.0,2019-2020
I-490,1156,19901219-0125,3.0,2019-2020
I-491,1144,19790702-0038,3.0,2019-2020
I-492,1015,19900426-0089,3.0,2019-2020
I-493,1218,19921123-0108,1.0,2020-2021
I-494,1135,19920505-0115,2.0,2020-2021
I-495,1240,19910514-0068,1.0,2020-2021
I-496,1089,19770713-0042,2.0,2020-2021
I-497,1285,19921201-0094,2.0,2020-2021
I-498,1264,19771013-0040,3.0,2020-2021
I-499,1217,19910327-0096,3.0,2020-2021
I-500,1199,19900801-0130,4.0,2020-2021
I-501,1167,19921127-0120,3.0,2020-2021
I-502,1057,19781125-0031,4.0,2020-2021
I-503,1210,19780424-0057,1.0,2021-2022
I-504,1296,19920826-0088,2.0,2021-2022
I-505,1282,19750102-0059,1.0,2021-2022
I-506,1175,19930228-0086,2.0,2021-2022
I-507,1118,19771013-0040,1.0,2021-2022
I-508,1278,19901219-0125,3.0,2021-2022
I-509,1133,19900902-0090,2.0,2021-2022
I-510,1098,19910214-0084,3.0,2021-2022
I-511,1081,19780424-0057,4.0,2021-2022
I-512,1057,19780317-0052,3.0,2021-2022
I-513,1242,19770713-0042,2.0,2022-2023
I-514,1167,19900211-0140,1.0,2022-2023
I-515,1202,19921002-0129,3.0,2022-2023
I-516,1148,19920122-0065,1.0,2022-2023
I-517,1239,19780602-0035,2.0,2022-2023
I-518,1122,19790717-0045,3.0,2022-2023
I-519,1060,19790702-0038,4.0,2022-2023
I-520,1022,19921218-0101,1.0,2022-2023
I-521,1020,19750722-0060,4.0,2022-2023
I-522,1222,19750122-0056,4.0,2023-2024
I-523,1251,19780602-0035,3.0,2023-2024
I-524,1191,19750331-0036,2.0,2023-2024
I-525,1022,19750331-0036,1.0,2023-2024
I-526,1188,19760524-0046,4.0,2023-2024
I-527,1155,19781217-0053,1.0,2023-2024
I-528,1048,19750220-0037,3.0,2023-2024
I-529,1004,19761024-0034,1.0,2023-2024
I-530,1203,19761024-0034,1.0,2013-2014
I-531,1174,19921123-0108,1.0,2013-2014
I-532,1268,19930829-0082,3.0,2013-2014
I-533,1176,19790426-0049,2.0,2013-2014
I-534,1046,19760108-0050,4.0,2013-2014
I-535,1291,19931212-0079,4.0,2013-2014
I-536,1081,19780317-0052,3.0,2013-2014
I-537,1060,19931118-0062,1.0,2013-2014
I-538,1042,19900511-0134,3.0,2013-2014
I-539,1164,19770224-0058,2.0,2014-2015
I-540,1234,19930709-0100,1.0,2014-2015
I-541,1112,19760108-0050,3.0,2014-2015
I-542,1045,19920320-0121,4.0,2014-2015
I-543,1272,19760524-0046,2.0,2014-2015
I-544,1206,19750722-0060,2.0,2014-2015
I-545,1152,19920316-0107,1.0,2014-2015
I-546,1090,19900211-0140,2.0,2014-2015
I-547,1014,19790708-0041,2.0,2014-2015
I-548,1263,19761024-0034,3.0,2015-2016
I-549,1037,19921208-0097,2.0,2015-2016
I-550,1081,19751018-0039,4.0,2015-2016
I-551,1080,19900801-0130,2.0,2015-2016
I-552,1067,19921123-0108,1.0,2015-2016
I-553,1012,19910817-0092,1.0,2015-2016
I-554,1191,19751018-0039,1.0,2015-2016
I-555,1103,19920316-0107,4.0,2015-2016
I-556,1055,19790618-0048,4.0,2015-2016
I-557,1051,19910421-0067,1.0,2015-2016
I-558,1044,19790426-0049,1.0,2015-2016
I-559,1243,19910101-0133,2.0,2016-2017
I-560,1273,19781217-0053,1.0,2016-2017
I-561,1211,19920122-0065,4.0,2016-2017
I-562,1172,19910927-0128,4.0,2016-2017
I-563,1134,19921218-0101,2.0,2016-2017
I-564,1281,19750417-0051,2.0,2016-2017
I-565,1269,19790702-0038,3.0,2016-2017
I-566,1173,19750705-0033,1.0,2016-2017
I-567,1168,19910921-0136,4.0,2016-2017
I-568,1152,19750331-0036,2.0,2016-2017
I-569,1078,19930228-0086,3.0,2016-2017
I-570,1239,19780317-0052,2.0,2017-2018
I-571,1228,19920504-0093,2.0,2017-2018
I-572,1184,19910404-0102,2.0,2017-2018
I-573,1130,19901026-0111,3.0,2017-2018
I-574,1112,19781130-0054,1.0,2017-2018
I-575,1028,19900119-0104,2.0,2017-2018
I-576,1280,19761020-0044,3.0,2017-2018
I-577,1260,19750722-0060,1.0,2017-2018
I-578,1234,19761020-0044,2.0,2017-2018
I-579,1172,19750722-0060,2.0,2017-2018
I-580,1024,19780602-0035,1.0,2017-2018
I-581,1136,19930829-0082,2.0,2018-2019
